x,y
-19.88785863,-7.42126933
-20.19377639,-7.43564206
32.59279765,-5.673911926
-36.36045606,-8.083371988
31.45804056,-5.571182968
36.10883549,-5.980412236
5.294182569,-5.773169376
-48.14701322,-8.454438337
0.782148055,-6.152962416
21.36451332,-4.814023394
19.77479739,-4.786036631
39.34555959,-6.241437423
20.11849705,-4.788595622
43.72903805,-6.560742484
-48.91072264,-8.476324732
31.97404038,-5.618049129
-46.57323458,-8.408587935
1.616032098,-6.085834075
15.33303204,-4.92080994
25.41272625,-5.041554541
-22.00030251,-7.518620848
10.305106,-5.319570293
38.87807325,-6.205082317
14.32341069,-4.98734672
28.60633535,-5.311605406
-0.885875793,-6.282890724
-9.653959441,-6.876990201
37.74400978,-6.11499524
20.81829269,-4.799814633
32.6491606,-5.678978807
-48.93295837,-8.476958481
-40.44428577,-8.219613606
4.328425275,-5.857723646
35.62174474,-5.939277836
-23.56440661,-7.587965698
27.55472601,-5.2183463
13.79207492,-5.026051903
22.50597551,-4.858151248
39.46476124,-6.250634661
26.79870045,-5.153413138
-29.31531615,-7.825119471
-45.66958425,-8.381791413
-34.64364431,-8.023317836
21.83135641,-4.829794422
-37.13564941,-8.109930504
-27.92110763,-7.770016956
-4.644055851,-6.554909328
-3.473914803,-6.473197186
-41.02137419,-8.238163376
0.672964506,-6.161644495
-42.34909016,-8.280219431
-33.34753041,-7.97680537
24.77100391,-4.994055148
-16.54327397,-7.257614366
-19.49459788,-7.402651906
31.88785528,-5.610236918
48.20489454,-6.84983054
46.89700084,-6.768890437
7.662233527,-5.560230433
-26.65170089,-7.718565264
-20.79015482,-7.463389766
17.37643319,-4.822372411
7.373870177,-5.586473169
-30.02977509,-7.852807843
45.81983971,-6.700096175
-16.38451096,-7.249533505
-35.03358947,-8.037110904
-17.16167819,-7.288810644
-38.69033234,-8.162192496
27.1914476,-5.186873754
29.25625194,-5.370333106
8.706878107,-5.464854503
-42.08083791,-8.271791147
-30.70980106,-7.878827381
27.54051352,-5.217106539
-14.66085627,-7.159847039
33.89477848,-5.789836761
-36.61127425,-8.092002333
19.81479406,-4.786233412
-30.9655372,-7.888529697
-10.31931049,-6.916656821
-16.10526757,-7.235248092
42.26927568,-6.458635912
33.84026088,-5.785033935
12.95240529,-5.091422319
36.54906498,-6.017182528
-28.37104083,-7.787957193
-43.51009151,-8.316305538
17.80005344,-4.809251753
3.512019024,-5.927900313
1.734923363,-6.076145592
-24.42813315,-7.625317415
35.28275877,-5.910377788
32.32010611,-5.649344313
-48.34277898,-8.46007087
-2.528999639,-6.405272796
44.41185698,-6.607123882
-4.137945726,-6.519888132
34.99722999,-5.885865496
3.555239145,-5.924216756
-6.589871884,-6.685150851
-47.55662949,-8.4373578
0.435978076,-6.180403601
37.64839553,-6.107277333
40.82488183,-6.353501116
-21.47965157,-7.495031726
-36.7296338,-8.096062532
-49.98674565,-8.506770629
-18.20392895,-7.340405019
3.010799998,-5.970352541
32.91761207,-5.70305659
17.35835323,-4.822992813
41.30144986,-6.388650841
25.61419264,-5.057094819
-33.14875727,-7.969579662
46.40159377,-6.737495581
-15.17340492,-7.186897245
9.848756193,-5.360806165
23.13917055,-4.890300723
37.08163633,-6.061139703
-16.66005629,-7.263539596
-3.69572874,-6.488888516
-33.31132883,-7.975491247
-3.361070331,-6.465177751
-4.362954474,-6.53551786
-37.21777007,-8.11272422
13.99303704,-5.011146104
39.64882272,-6.264778371
-7.257204215,-6.728267277
-32.41539666,-7.942702766
-20.5101653,-7.450407032
-44.12616871,-8.335201023
-43.9827119,-8.330816554
-47.33401076,-8.430880115
5.046740532,-5.794983342
6.305071433,-5.683090327
-19.54043862,-7.404830304
25.45107847,-5.044491226
17.11031876,-4.831991577
43.98382543,-6.5781502
-1.484530882,-6.328116297
1.808784097,-6.070111944
28.92032134,-5.33990285
7.116824389,-5.609812536
26.64948444,-5.140874519
42.01661002,-6.44054411
-28.96936667,-7.81158044
10.81141813,-5.274237022
